epoch,avg_loss,accuracy
1,2.06395280,0.227273
2,1.94922874,0.636364
3,1.84147161,0.636364
4,1.74074877,0.636364
5,1.64701190,0.636364
6,1.56010757,0.636364
7,1.47979262,0.636364
8,1.40575252,0.636364
9,1.33762117,0.636364
10,1.27500032,0.636364
11,1.21747734,0.636364
12,1.16464020,0.636364
13,1.11608913,0.636364
14,1.07144474,0.636364
15,1.03035315,0.636364
16,0.99248851,0.636364
17,0.95755351,0.636364
18,0.92527871,0.636364
19,0.89542096,0.636364
20,0.86776136,0.636364
21,0.84210310,0.636364
22,0.81826928,0.636364
23,0.79610077,0.636364
24,0.77545438,0.636364
25,0.75620103,0.636364
26,0.73822427,0.636364
27,0.72141885,0.636364
28,0.70568953,0.636364
29,0.69095000,0.636364
30,0.67712197,0.636364
31,0.66413428,0.636364
32,0.65192222,0.636364
33,0.64042685,0.636364
34,0.62959443,0.636364
35,0.61937592,0.636364
36,0.60972651,0.636364
37,0.60060521,0.636364
38,0.59197449,0.636364
39,0.58379997,0.636364
40,0.57605011,0.636364
41,0.56869594,0.636364
42,0.56171085,0.636364
43,0.55507034,0.636364
44,0.54875186,0.636364
45,0.54273464,0.636364
46,0.53699949,0.636364
47,0.53152871,0.636364
48,0.52630593,0.636364
49,0.52131602,0.636364
50,0.51654495,0.636364
